DJI_20260827155136_0231_D.JPG	2026:08:27 15:51:36	45.8518354722222	13.4232070555556	+11.900	+37.20	-34.60	+0.00	0.1	-0.1
DJI_20260827155140_0232_D.JPG	2026:08:27 15:51:40	45.8518696944444	13.4232058333333	+12.000	+39.10	-90.00	-0.20	3.8	0.0
DJI_20260827155141_0233_D.JPG	2026:08:27 15:51:41	45.8519188888889	13.4232066388889	+11.900	+39.00	-90.00	+0.00	4.0	-0.1
DJI_20260827155143_0234_D.JPG	2026:08:27 15:51:43	45.8519718333333	13.4232059166667	+11.900	+38.90	-90.00	+0.00	4.0	0.0
DJI_20260827155144_0235_D.JPG	2026:08:27 15:51:44	45.8520249166667	13.4232060277778	+11.900	+38.90	-90.00	+0.20	3.8	0.0
DJI_20260827155145_0236_D.JPG	2026:08:27 15:51:45	45.8520562777778	13.4232026666667	+12.000	+31.30	-90.00	-9.70	2.1	0.0
DJI_20260827155147_0237_D.JPG	2026:08:27 15:51:47	45.8520696111111	13.4232193055556	+11.900	+62.60	-90.00	+28.50	0.5	1.3
DJI_20260827155148_0238_D.JPG	2026:08:27 15:51:48	45.8520703333333	13.4232589166667	+12.000	+98.10	-89.90	+71.70	-0.8	2.6
DJI_20260827155150_0239_D.JPG	2026:08:27 15:51:50	45.8520518888889	13.4232701944444	+12.000	+134.90	-89.90	+112.50	-1.4	-0.2
DJI_20260827155151_0240_D.JPG	2026:08:27 15:51:51	45.8520276666667	13.4232696111111	+11.900	+170.90	-90.00	+154.80	-2.1	0.1
DJI_20260827155153_0241_D.JPG	2026:08:27 15:51:53	45.8519889166667	13.4232694722222	+11.900	-152.70	-89.90	+179.30	-3.8	0.1
DJI_20260827155154_0242_D.JPG	2026:08:27 15:51:54	45.8519422777778	13.4232700277778	+12.000	-137.30	-90.00	+179.50	-4.0	0.1
DJI_20260827155155_0243_D.JPG	2026:08:27 15:51:55	45.8518918333333	13.4232708888889	+11.900	-137.40	-90.00	+179.70	-4.0	0.1
DJI_20260827155157_0244_D.JPG	2026:08:27 15:51:57	45.85185075	13.4232675	+11.900	-136.00	-89.90	-172.70	-2.2	-0.2
DJI_20260827155158_0245_D.JPG	2026:08:27 15:51:58	45.8518339722222	13.4232788055556	+12.000	-154.90	-89.90	+159.80	-0.6	1.1
DJI_20260827155200_0246_D.JPG	2026:08:27 15:52:00	45.8518281944444	13.4233086666667	+11.900	+167.80	-90.00	+118.40	0.1	2.6
DJI_20260827155201_0247_D.JPG	2026:08:27 15:52:01	45.8518431666667	13.4233410833333	+12.000	+131.80	-90.00	+75.80	1.3	0.1
DJI_20260827155202_0248_D.JPG	2026:08:27 15:52:02	45.8518624444444	13.4233366111111	+11.900	+92.70	-90.00	+30.70	2.2	0.0
DJI_20260827155204_0249_D.JPG	2026:08:27 15:52:04	45.8518911388889	13.4233360833333	+12.000	+56.70	-89.90	+0.90	2.9	-0.1
DJI_20260827155205_0250_D.JPG	2026:08:27 15:52:05	45.8519403055556	13.4233370555556	+12.000	+35.50	-90.00	+0.40	4.0	0.0
DJI_20260827155207_0251_D.JPG	2026:08:27 15:52:07	45.8519938888889	13.4233364722222	+12.000	+35.20	-89.90	+0.10	4.0	-0.1
DJI_20260827155208_0252_D.JPG	2026:08:27 15:52:08	45.8520377777778	13.4233366388889	+12.000	+36.20	-89.90	+0.00	3.0	-0.2
DJI_20260827155210_0253_D.JPG	2026:08:27 15:52:10	45.8520658333333	13.4233360833333	+12.000	+37.30	-90.00	+4.30	1.2	0.7
DJI_20260827155211_0254_D.JPG	2026:08:27 15:52:11	45.8520729722222	13.4233596388889	+12.000	+73.80	-90.00	+45.30	0.3	1.9
DJI_20260827155213_0255_D.JPG	2026:08:27 15:52:13	45.8520642222222	13.4234021944444	+12.000	+112.50	-90.00	+90.70	-1.6	0.9
DJI_20260827155214_0256_D.JPG	2026:08:27 15:52:14	45.8520455555556	13.4234010277778	+11.900	+148.00	-90.00	+132.70	-1.9	-0.1
DJI_20260827155215_0257_D.JPG	2026:08:27 15:52:15	45.8520187222222	13.4234007222222	+11.900	-175.60	-89.90	+174.80	-2.5	0.0
DJI_20260827155217_0258_D.JPG	2026:08:27 15:52:17	45.8519765	13.4234009166667	+12.000	-142.60	-90.00	+179.40	-4.0	0.0
DJI_20260827155218_0259_D.JPG	2026:08:27 15:52:18	45.8519267777778	13.4234013611111	+11.900	-137.00	-90.00	+179.60	-4.0	0.0
DJI_20260827155220_0260_D.JPG	2026:08:27 15:52:20	45.8518735555556	13.4234014444444	+11.900	-137.90	-90.00	+179.60	-3.6	0.0
DJI_20260827155221_0261_D.JPG	2026:08:27 15:52:21	45.851843	13.4233995833333	+11.900	-130.50	-90.00	-171.50	-2.0	0.2
DJI_20260827155223_0262_D.JPG	2026:08:27 15:52:23	45.8518289722222	13.4234170555556	+12.000	-167.80	-89.90	+145.10	-0.4	1.5
DJI_20260827155224_0263_D.JPG	2026:08:27 15:52:24	45.8518309444444	13.4234575833333	+12.000	+153.70	-89.90	+107.20	1.1	2.1
